id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
167,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25-04-2023 02:00:00,PM2.5,NA,NA,NA,NA
168,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25-04-2023 02:00:00,PM10,46,300,161,NA
169,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25-04-2023 02:00:00,NO2,10,21,15,NA
170,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25-04-2023 02:00:00,NH3,8,20,12,NA
171,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25-04-2023 02:00:00,SO2,NA,NA,NA,NA
172,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25-04-2023 02:00:00,CO,18,64,53,NA
173,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25-04-2023 02:00:00,OZONE,14,58,32,NA
174,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",25-04-2023 02:00:00,PM2.5,NA,NA,NA,NA
175,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",25-04-2023 02:00:00,NO2,12,14,13,NA
176,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",25-04-2023 02:00:00,SO2,9,15,14,NA
177,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",25-04-2023 02:00:00,CO,26,102,70,NA
178,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",25-04-2023 02:00:00,OZONE,16,25,21,NA
179,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",25-04-2023 02:00:00,PM2.5,8,35,19,NA
180,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",25-04-2023 02:00:00,PM10,40,128,82,NA
181,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",25-04-2023 02:00:00,NO2,20,23,21,NA
182,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",25-04-2023 02:00:00,NH3,9,10,10,NA
