Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate
2021-09-30T00:00:00,508482,Cayuga,Auburn,13021,New York State Electric & Gas,New York State Electric & Gas,2021-08-05T00:00:00,6405,Natural Gas,"2,622",1,Home Performance,Single Family,Building Shell,410,25,301
2021-09-30T00:00:00,424848,Dutchess,Stanfordville,12581,NA,Central Hudson Gas & Electric,2020-01-14T00:00:00,3563,Pellets,"1,894",1,Home Performance,Single Family,Building Shell,0,16,333
2021-09-30T00:00:00,475361,Ontario,Shortsville,14548,NA,Rochester Gas & Electric,2020-12-03T00:00:00,11196,Oil,"1,448",1,Home Performance,Single Family,Building Shell,236,69,1439
2021-09-30T00:00:00,418326,Oneida,Whitesboro,13492,National Grid,National Grid,2020-01-14T00:00:00,665,Natural Gas,"2,444",1,Home Performance,Mobile,Building Shell,0,5,42
2021-09-30T00:00:00,352710,Seneca,Waterloo,13165,New York State Electric & Gas,New York State Electric & Gas,2020-10-20T00:00:00,6824,Natural Gas,"1,120",1,Home Performance,Single Family,Building Shell,1067,18,112
2021-09-30T00:00:00,419253,Onondaga,Syracuse,13219,National Grid,National Grid,2019-07-26T00:00:00,7197,Electric,"1,584",1,Home Performance,Single Family,Building Shell,510,50,470
2021-09-30T00:00:00,385748,Livingston,Dansville,14437,New York State Electric & Gas,New York State Electric & Gas,2020-02-25T00:00:00,1837,Natural Gas,"Report SF more than 4,000",1,Home Performance,Single Family,Building Shell,410,8,123
2021-09-30T00:00:00,466936,Ontario,Canandaigua,14424,NA,Rochester Gas & Electric,2021-09-16T00:00:00,9658,Propane,Report SF less than 800,1,Home Performance,Single Family,Building Shell,54,41,898
2021-09-30T00:00:00,496766,Bronx,The Bronx,10461,Consolidated Edison,Consolidated Edison,2021-03-16T00:00:00,607,Natural Gas,997,1,Electric Reduction,Single Family,Building Shell,443,2,124
2021-09-30T00:00:00,438126,Erie,East Aurora,14052,National Fuel Gas Distribution,New York State Electric & Gas,2020-09-03T00:00:00,6906,Natural Gas,"1,404",1,Home Performance,Single Family,Building Shell,510,50,425
