TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantType,qCaretaker,DBH,PlotSize,XCoord,YCoord,Latitude,Longitude,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old),Analysis Neighborhoods
260493,Undocumented,Tristaniopsis laurina :: Swamp Myrtle,1799 Washington St,4,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,6006327,2116970,37.79315345,-122.4220529,13,9,10,28858,32,32
22895,DPW Maintained,Lophostemon confertus :: Brisbane Box,198 Valencia St,1,Sidewalk: Curb side : Cutout,Tree,Private,12,3X3,6006027.212,2108592.427,37.77013378,-122.4224947,8,2,5,28853,19,20
260491,Undocumented,Tristaniopsis laurina :: Swamp Myrtle,1799 Washington St,2,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,6006327,2116970,37.79315345,-122.4220529,13,9,10,28858,32,32
149945,DPW Maintained,Lophostemon confertus :: Brisbane Box,1176 Illinois St,1,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6016092.317,2103658.719,37.75714954,-122.387335,10,3,8,28856,29,26
6658,DPW Maintained,Platanus racemosa :: California Sycamore,1550 Evans Ave,6,Sidewalk: Curb side : Cutout,Tree,DPW,3,3X3,6016095.557,2098268.177,37.74234841,-122.3869479,10,3,8,58,1,1
188609,DPW Maintained,Lophostemon confertus :: Brisbane Box,3601 03rd St,5,Sidewalk: Curb side : Cutout,Tree,Private,15,Width 3ft,6015915.655,2098586.792,37.7432133,-122.3875922,10,3,8,58,1,1
132932,DPW Maintained,Pittosporum undulatum :: Victorian Box,2759 Buchanan St,2,Sidewalk: Curb side : Cutout,Tree,Private,11,Width 4ft,6003546,2117759,37.7951626,-122.4317317,13,9,1,29490,27,30
260488,Undocumented,Platanus x hispanica :: Sycamore: London Plane,1868 Van Ness Ave,2,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,6006172,2116875,37.79288386,-122.4225825,13,9,10,28858,32,32
260492,Undocumented,Tristaniopsis laurina :: Swamp Myrtle,1799 Washington St,3,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,6006327,2116970,37.79315345,-122.4220529,13,9,10,28858,32,32
41070,DPW Maintained,Fraxinus spp :: Ash Spp,255 10th St,3,Sidewalk: Curb side : Cutout,Tree,Private,3,NA,6008672.121,2109729.966,37.77340604,-122.4134264,8,2,9,28853,34,34
269590,Undocumented,Arbutus 'Marina' :: Hybrid Strawberry Tree,555 23rd St,7,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,6016722,2102848,37.75495833,-122.3851008,10,3,8,28856,29,26
59616,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1011 Tennessee St,1,Sidewalk: Curb side : Cutout,Tree,Private,3,NA,6015550.115,2104384.668,37.7591128,-122.3892609,10,3,8,28856,29,26
188613,DPW Maintained,Lophostemon confertus :: Brisbane Box,3601 03rd St,9,Sidewalk: Curb side : Cutout,Tree,Private,12,Width 3ft,6015951.719,2098695.103,37.7435127,-122.387475,10,3,8,58,1,1
191222,DPW Maintained,Lagunaria patersonii :: Primrose Tree,1143 Mariposa St,1,Sidewalk: Curb side : Cutout,Tree,Private,3,Width 3ft,6013778.515,2106149.812,37.76386112,-122.3955116,14,3,8,28856,29,26
260487,Undocumented,Platanus x hispanica :: Sycamore: London Plane,1868 Van Ness Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,6006172,2116875,37.79288386,-122.4225825,13,9,10,28858,32,32
248105,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,51 Brewster St,1,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,6010429.957,2099572.507,37.74561448,-122.4066298,2,7,7,28859,2,2
269562,Undocumented,Potential Site :: Potential Site,498x Clementina St,2,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,6011142,2112015,37.77981858,-122.4050436,14,2,9,28853,34,34
149949,DPW Maintained,Lophostemon confertus :: Brisbane Box,1188 Illinois St,1,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6016103.214,2103485.278,37.75667391,-122.3872853,10,3,8,28856,29,26
